DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T4,Departure,International,11960
06/11/2021 12:35:47 PM,04/01/2021 12:00:00 AM,TBIT,Arrival,International,154701
06/11/2021 12:35:47 PM,11/01/2020 12:00:00 AM,TBIT,Departure,International,98776
06/11/2021 12:35:47 PM,01/01/2021 12:00:00 AM,TBIT,Arrival,International,142313
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,Domestic,30574
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,T2,Arrival,Domestic,461734
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T7,Departure,International,26862
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T7,Arrival,Domestic,167366
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,T5,Departure,International,7026
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,TBIT,Departure,Domestic,73267
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,T2,Departure,International,29119
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,T2,Departure,Domestic,395010
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T7,Arrival,International,50595
06/11/2021 12:35:47 PM,03/01/2021 12:00:00 AM,TBIT,Arrival,International,121931
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T4,Arrival,International,2118
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T2,Arrival,International,10405
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T7,Arrival,International,47471
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T2,Departure,International,23863
08/01/2021 12:00:23 AM,05/01/2021 12:00:00 AM,TBIT,Departure,International,153421
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T6,Departure,International,41344
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T8,Arrival,Domestic,69782
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T4,Arrival,Domestic,355446
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T5,Departure,International,13522
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,TBIT,Arrival,International,229869
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T1,Departure,Domestic,226122
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,International,9
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,International,268
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T8,Departure,International,11204
